id;CommonName;Address
1;Выставочные залы в Государственном музее А.С. Пушкина на Арбате;г. Москва, муниципальный округ Арбат, улица Арбат, дом 55/32
2;Дом-музей Марины Цветаевой;г. Москва, муниципальный округ Арбат, Борисоглебский переулок, дом 6, строение 2
3;Музей обороны Москвы;г. Москва, муниципальный округ Тропарево-Никулино, улица Мичуринский Проспект, Олимпийская Деревня, дом 3
4;Музей В.А. Тропинина;г. Москва, Щетининский переулок, дом 10, строение 1
5;Музей-усадьба «Останкино»;г. Москва, муниципальный округ Останкинский, 1-я Останкинская улица, дом 5, строение 1
6;Музей В. В. Маяковского;г. Москва, муниципальный округ Пресненский, улица Красная Пресня, дом 36, строение 1
7;Территория «Коломенское»;г. Москва, муниципальный округ Нагатинский Затон, проспект Андропова, дом 39, строение 79
8;ГМЗ «Кузьминки-Люблино»;г. Москва, муниципальный округ Кузьминки, Кузьминский парк, дом 1, строение 3
9;Экскурсионный отдел павильона «Геология». Биологический музей имени К.А. Тимирязева;г. Москва, муниципальный округ Останкинский, проспект Мира, дом 119, строение 31
10;Дом русского зарубежья имени А. Солженицына;г. Москва, муниципальный округ Таганский, Нижняя Радищевская улица, дом 10, строение 3
11;Музейно - выставочный Центр В.А. Гиляровского;г. Москва, муниципальный округ Тверской, Столешников переулок, дом 9, строение 5
12;Музей русской гармоники А. Мирека. Мемориальный музей А.Н. Скрябина.;г. Москва, муниципальный округ Тверской, 2-я Тверская-Ямская улица, дом 18
13;Государственный музей А. С. Пушкина;г. Москва, муниципальный округ Хамовники, улица Пречистенка, дом 12/2, строение 5
14;Музей истории ГУЛАГа;г. Москва, муниципальный округ Якиманка, улица Серафимовича, дом 2
15;Экспозиция «Дача»;г. Москва, муниципальный округ Новогиреево, Союзный проспект, дом 15А
16;Музей археологии Москвы;г. Москва, муниципальный округ Тверской, Манежная площадь, дом 1А
17;Мемориальный музей космонавтики;г. Москва, муниципальный округ Останкинский, проспект Мира, дом 111
18;Московская школа фотографии и мультимедиа имени А.Родченко, Мультимедийный комплекс актуальных искусств;г. Москва, муниципальный округ Красносельский, 2-й Красносельский переулок, дом 2
19;Московская Усадьба Деда Мороза;г. Москва, муниципальный округ Выхино-Жулебино, Волгоградский проспект, дом 168Д, строение 9
20;Мемориальная квартира А. Белого;г. Москва, муниципальный округ Арбат, улица Арбат, дом 55/32
21;Картинная галерея А. Шилова;г. Москва, муниципальный округ Хамовники, улица Знаменка, дом 7, строение 2
22;Экспозиция «Музей русского лубка и наивного искусства». Галерея Ильи Глазунова;г. Москва, муниципальный округ Красносельский, Малый Головин переулок, дом 10, строение 1
23;Музей истории «Лефортово»;г. Москва, муниципальный округ Лефортово, Крюковская улица, дом 23
24;Музей Москвы;г. Москва, муниципальный округ Хамовники, Зубовский бульвар, дом 2, строение 2
25;Дом-музей В.Л. Пушкина;г. Москва, муниципальный округ Басманный, Старая Басманная улица, дом 36
26;Дарвиновский музей;г. Москва, улица Вавилова, дом 57, строение 1
27;Мемориальная квартира А. С. Пушкина;г. Москва, муниципальный округ Арбат, улица Арбат, дом 53, строение 1
28;Мультимедийный комплекс актуальных искусств, Мультимедиа Арт Музей;г. Москва, муниципальный округ Хамовники, улица Остоженка, дом 16
29;Усадьба «Люблино»;г. Москва, муниципальный округ Люблино, Летняя улица, дом 2, строение 1
30;Музей-заповедник «Царицыно»;г. Москва, Дольская улица, дом 1, строение 36
31;Музей-усадьба «Кусково»;г. Москва, улица Юности, дом 2, строение 31
32;Экспозиции «Галерея Ильи Глазунова» и Музей сословий России;г. Москва, муниципальный округ Хамовники, улица Волхонка, дом 13, строение 2
33;Картинная галерея Василия Нестеренко;г. Москва, муниципальный округ Тверской, улица Малая Дмитровка, дом 29, строение 4
34;Экспозиция «Народные картины»;г. Москва, муниципальный округ Измайлово, Измайловский бульвар, дом 30
35;Музей К. Г.Паустовского;г. Москва, муниципальный округ Кузьминки, Кузьминская улица, дом 8
36;Музей М. А. Булгакова;г. Москва, муниципальный округ Хамовники, Большая Пироговская улица, дом 35А, строение 1
37;Музей «Дом Бурганова»;г. Москва, муниципальный округ Хамовники, Большой Афанасьевский переулок, дом 15, строение 9
